"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NL001","The Hague","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,29215,,
"NL002","Amsterdam","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,29775,,
"NL003","Rotterdam","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,28234,,
"NL004","Utrecht","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,29949,,
"NL005","Eindhoven","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,28933,,
"NO001","Oslo","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,41819,,
"NO001","Oslo","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.271,,
"SE001","Stockholm","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,33304,,
"SE001","Stockholm","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.309,,
"SE002","Gothenburg","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,29862,,
"SE002","Gothenburg","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.278,,
"SE003","Malmö","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,29007,,
"SE003","Malmö","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.316,,
"UK001","London","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,30573,,
"UK002","Birmingham (UK)","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,22746,,
"UK003","Leeds","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,23467,,
"UK004","Bradford","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,22612,,
"UK005","Liverpool","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,20751,,
"UK006","Manchester","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,22265,,
"UK007","Cardiff","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,24859,,
"UK008","Sheffield","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,22282,,
"UK009","Bristol","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,27630,,
"UK010","Newcastle","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,30532,,
"UK011","Leicester","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,23602,,
"UK017","Portsmouth","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,25994,,
"UK023","Nottingham","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,22851,,
"US003","Seattle","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,54007,,
"US003","Seattle","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.384,,
"US012","Portland","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,42012,,
"US012","Portland","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.353,,
"US014","Minneapolis","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,47901,,
"US014","Minneapolis","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.328,,
"US033","Milwaukee","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,39707,,
"US033","Milwaukee","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.373,,
"US035","Madison","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,44136,,
"US035","Madison","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.329,,
"US038","Buffalo","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,32610,,
"US038","Buffalo","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.329,,
"US039","Grand Rapids","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,37590,,
"US039","Grand Rapids","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.347,,
"US044","Albany","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,37521,,
"US044","Albany","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.312,,
"US045","Detroit","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,39186,,
"US045","Detroit","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.386,,
"US048","Boston","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,51509,,
"US048","Boston","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.383,,
"US055","Chicago","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,43085,,
"US055","Chicago","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.407,,
"US060","Providence","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,38265,,
"US060","Providence","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.385,,
"US065","Toledo (US)","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,31867,,
"US065","Toledo (US)","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.385,,
"US069","Cleveland","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,35938,,
"US069","Cleveland","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.395,,
"US070","Des Moines","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,42739,,
"US070","Des Moines","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.328,,
"US077","Omaha","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,42989,,
"US077","Omaha","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.34,,
"US081","Akron","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,36788,,
"US081","Akron","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.369,,
"US084","New York","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,44016,,
"US084","New York","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.42,,
"US089","Salt Lake City","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,41912,,
"US089","Salt Lake City","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.362,,
"US097","Pittsburgh","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,44409,,
"US097","Pittsburgh","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.385,,
"US103","Harrisburg","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,42719,,
"US103","Harrisburg","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.328,,
"US106","Philadelphia","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,44398,,
"US106","Philadelphia","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.407,,
"US107","Columbus","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,39144,,
"US107","Columbus","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.361,,
"US114","Denver","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,46599,,
"US114","Denver","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.361,,
"US115","Indianapolis","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,39473,,
"US115","Indianapolis","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.392,,
"US117","Dayton","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,34149,,
"US117","Dayton","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.365,,
"US122","Baltimore","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,44323,,
"US122","Baltimore","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.379,,
"US124","Cincinnati","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,39113,,
"US124","Cincinnati","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.361,,
"US125","Washington","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,58866,,
"US125","Washington","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.342,,
"US128","Kansas City","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,43096,,
"US128","Kansas City","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.366,,
