"id","description","id.1","label","id.2","label.1","id.3","label.2","id.4","label.3","id.5","label.4","id.6","label.5","id.7","label.6","id.8","label.7","id","label"
"","","FR41","Lorraine","","","","","","","","","TOE","Tonnes of oil equivalent (toe)","","","2013M12_100","2013M12=100","",""
"","","FR42","Alsace ","","","","","","","","","5","CURRENCIES","","","","","",""
"","","FR43","Franche-Comté","","","","","","","","","AED","Dirham from the United Arab Emirates","","","","","",""
"","","FR51","Pays de la Loire","","","","","","","","","AFA","Afghani (old)","","","","","",""
"","","FR52","Brittany","","","","","","","","","AFN","Afghani","","","","","",""
"","","FR53","Poitou-Charentes","","","","","","","","","ALL","Lek","","","","","",""
"","","FR61","Aquitaine","","","","","","","","","AMD","Armenian Dram","","","","","",""
"","","FR62","Midi-Pyrénées","","","","","","","","","ANG","Netherlands Antillian Guilder","","","","","",""
"","","FR63","Limousin","","","","","","","","","AOA","Kwanza","","","","","",""
"","","FR71","Rhône-Alpes","","","","","","","","","ARS","Argentine Peso","","","","","",""
"","","FR72","Auvergne","","","","","","","","","ATS","Austrian Schilling","","","","","",""
"","","FR81","Languedoc-Roussillon ","","","","","","","","","AUD","Australian Dollar","","","","","",""
"","","FR82","Provence-Alpes-Côte d'Azur","","","","","","","","","AWG","Aruban Guilder","","","","","",""
"","","FR83","Corsica","","","","","","","","","AZM","Azerbaijanian Manat (old)","","","","","",""
"","","DEU","Germany","","","","","","","","","AZN","Azerbaijanian Manat","","","","","",""
"","","DE1","Baden-Württemberg ","","","","","","","","","BAM","Convertible Marks","","","","","",""
"","","DE2","Bavaria","","","","","","","","","BBD","Barbados Dollar","","","","","",""
"","","DE3","Berlin","","","","","","","","","BDT","Taka","","","","","",""
"","","DE4","Brandenburg","","","","","","","","","BEF","Belgian Franc","","","","","",""
"","","DE5","Bremen ","","","","","","","","","BGN","Bulgarian Lev","","","","","",""
"","","DE6","Hamburg","","","","","","","","","BHD","Bahraini Dinar","","","","","",""
"","","DE7","Hesse","","","","","","","","","BIF","Burundi Franc","","","","","",""
"","","DE8","Mecklenburg-Vorpommern","","","","","","","","","BMD","Bermudian Dollar","","","","","",""
"","","DE9","Lower Saxony ","","","","","","","","","BND","Brunei Dollar","","","","","",""
"","","DEA","North Rhine-Westphalia","","","","","","","","","BOB","Boliviano","","","","","",""
"","","DEB","Rhineland-Palatinate","","","","","","","","","BOV","Mvdol","","","","","",""
"","","DEC","Saarland","","","","","","","","","BRL","Brazilian Real","","","","","",""
"","","DED","Saxony","","","","","","","","","BSD","Bahamian Dollar","","","","","",""
"","","DEE","Saxony-Anhalt","","","","","","","","","BTN","Ngultrum","","","","","",""
"","","DEF","Schleswig-Holstein","","","","","","","","","BWP","Pula","","","","","",""
"","","DEG","Thuringia","","","","","","","","","BYR","Belarussian Ruble","","","","","",""
"","","GRC","Greece","","","","","","","","","BZD","Belize Dollar","","","","","",""
"","","GR1","Northern Greece","","","","","","","","","CAD","Canadian Dollar","","","","","",""
"","","GR2","Central Greece","","","","","","","","","CDF","Congolese franc","","","","","",""
"","","GR3","Athens","","","","","","","","","CFA","CFA Franc","","","","","",""
"","","GR4","Aegean Islands and Crete","","","","","","","","","CHE","WIR Euro","","","","","",""
"","","HUN","Hungary","","","","","","","","","CHF","Swiss Franc","","","","","",""
"","","HU1","Central Hungary","","","","","","","","","CHW","WIR Franc","","","","","",""
"","","HU10","Central Hungary","","","","","","","","","CLF","Unidad de formento (UF)","","","","","",""
"","","HU2","Transdanubia","","","","","","","","","CLP","Chilean Peso","","","","","",""
"","","HU21","Central Transdanubia","","","","","","","","","CNY","Yuan Renminbi","","","","","",""
"","","HU22","Western Transdanubia","","","","","","","","","COP","Colombian Peso","","","","","",""
"","","HU23","Southern Transdanubia","","","","","","","","","COU","Unidad de valor real","","","","","",""
"","","HU3","Great Plain and North","","","","","","","","","CRC","Costa Rican Colon","","","","","",""
"","","HU31","Northern Hungary","","","","","","","","","CSD","Dinar of Serbia and Montenegro","","","","","",""
"","","HU32","Northern Great Plain","","","","","","","","","CUP","Cuban Peso","","","","","",""
"","","HU33","Southern Great Plain","","","","","","","","","CVE","Cape Verde Escudo","","","","","",""
"","","ISL","Iceland","","","","","","","","","CYP","Cyprus Pound","","","","","",""
"","","IS01","Capital Region","","","","","","","","","CZK","Czech Koruna","","","","","",""
"","","IS02","Other Regions","","","","","","","","","DEM","German Mark","","","","","",""
"","","IRL","Ireland","","","","","","","","","DJF","Djibouti Franc","","","","","",""
"","","IE01","Border, Midland and Western","","","","","","","","","DKK","Danish Krone","","","","","",""
"","","IE02","Southern and Eastern","","","","","","","","","DOP","Dominican Peso","","","","","",""
"","","ISR","Israel","","","","","","","","","DZD","Algerian Dinar","","","","","",""
"","","IL01","Jerusalem District","","","","","","","","","ECV","Unidad de Valor Constante","","","","","",""
"","","IL02","Northern District","","","","","","","","","EEK","Kroon","","","","","",""
"","","IL03","Haifa District","","","","","","","","","EGP","Egyptian Pound","","","","","",""
"","","IL04","Central District","","","","","","","","","ERN","Nakfa","","","","","",""
"","","IL05","Tel Aviv District","","","","","","","","","ESP","Spanish Peseta","","","","","",""
"","","IL06","Southern District","","","","","","","","","ETB","Ethiopian Birr","","","","","",""
"","","ITA","Italy","","","","","","","","","EUR","Euro","","","","","",""
"","","ITC1","Piedmont","","","","","","","","","FIM","Finnish Markka","","","","","",""
"","","ITC2","Aosta Valley","","","","","","","","","FJD","Fiji Dollar","","","","","",""
"","","ITC3","Liguria","","","","","","","","","FKP","Falkland Islands Pound","","","","","",""
"","","ITC4","Lombardy","","","","","","","","","FRF","French Franc","","","","","",""
"","","ITF1","Abruzzo","","","","","","","","","GBP","Pound Sterling","","","","","",""
"","","ITF2","Molise","","","","","","","","","GEL","Lari","","","","","",""
