"id","description","id.1","label","id.2","label.1","id.3","label.2","id.4","label.3","id.5","label.4","id.6","label.5","id.7","label.6","id.8","label.7","id.9","label.8","id.10","label.9","id","label"
"","","","","AU407","South Australia - South East","Y15_64","Working Age Population Group (15-64)","","","","","","","","","100000HAB","Per 100 000 inhabitants","","","1995","1995","",""
"","","","","AU4GA","Adelaide","Y15_19","Population, 15-19","","","","","","","","","100HAB","Per 100 inhabitants","","","1994","1994","",""
"","","","","AU5","Western Australia","Y20_24","Population, 20-24","","","","","","","","","PC_PNT","Percentage points","","","1993","1993","",""
"","","","","AU501","Bunbury","Y25_29","Population, 25-29","","","","","","","","","PER","Persons","","","1992","1992","",""
"","","","","AU508","Western Australia - Outback","Y30_34","Population, 30-34","","","","","","","","","3","TIME","","","1991","1991","",""
"","","","","AU509","Western Australia - Wheat Belt","Y35_39","Population, 35-39","","","","","","","","","DAY","Days","","","1990_100","1990=100","",""
"","","","","AU5GP","Perth","Y40_44","Population, 40-44","","","","","","","","","HOUR","Hours","","","2011_12","2011-12","",""
"","","","","AU6","Tasmania","Y45_49","Population, 45-49","","","","","","","","","HPYPP","Hours per year per person","","","2004_05","2004-05","",""
"","","","","AU601","Hobart","Y50_54","Population, 50-54","","","","","","","","","MONTH","Months","","","1995_96","1995-96","",""
"","","","","AU602","Launceston and North East","Y55_59","Population, 55-59","","","","","","","","","YR","Years","","","2012_13","2012-13","",""
"","","","","AU603","South East","Y60_64","Population, 60-64","","","","","","","","","MPD","Minutes per day","","","2009_10","2009-10","",""
"","","","","AU604","West and North West","Y65_MAX","Old Population Group (65+)","","","","","","","","","WEEK","Weeks","","","2014_100","2014=100","",""
"","","","","AU7","Northern Territory","Y65_69","Population, 65-69","","","","","","","","","DPYPP","Days per year per person","","","USA_100","USA=100","",""
"","","","","AU701","Darwin","Y70_74","Population, 70-74","","","","","","","","","LT_HAB","Litres per capita","","","2014","2014","",""
"","","","","AU702","Northern Territory - Outback","Y75_79","Population, 75-79","","","","","","","","","KCAL_HAB","Kilocalories per capita","","","2007Q1_100","2007Q1=100","",""
"","","","","AU8","Australian Capital Territory","Y80_MAX","Population, 80+","","","","","","","","","G_HAB","Grams per capita","","","2013_14","2013-14","",""
"","","","","AU801","Australian Capital Territory","D_T","Deaths, All ages","","","","","","","","","BAR_DAY","Barrels per day","","","2011-12_100","2011-12=100","",""
"","","","","AUT","Austria","MORT","Deaths by Age in Regions (persons)","","","","","","","","","BAR","Barrels","","","2010M12_100","2010M12=100","",""
"","","","","AT11","Burgenland (AT)","D_Y0_14","Deaths, Youth Group (0-14)","","","","","","","","","KOE_HAB","Kilograms of oil equivalent per capita","","","1982-84_100","1982-84=100","",""
"","","","","AT111","Mittelburgenland","D_Y0_4","Deaths, 0-4","","","","","","","","","MICRO_M3","Micrograms per cubic metre","","","1980_100","1980=100","",""
"","","","","AT112","Nordburgenland","D_Y5_9","Deaths, 5-9","","","","","","","","","TONNE_1000USD","Tonnes per 1 000 US dollars","","","1993M12_100","1993M12=100","",""
"","","","","AT113","Südburgenland","D_Y10_14","Deaths, 10-14","","","","","","","","","GWH","Gigawatt hours","","","2000M12_100","2000M12=100","",""
"","","","","AT12","Lower Austria","D_Y15_64","Deaths, Working Age Group (15-64)","","","","","","","","","KG_1000USD","Kilograms per 1 000 US dollars","","","2006M12_100","2006M12=100","",""
"","","","","AT121","Mostviertel-Eisenwurzen","D_Y15_19","Deaths, 15-19","","","","","","","","","MICRO_L","Micrograms per litre","","","2006Q2_100","2006Q2=100","",""
"","","","","AT122","Niederösterreich-Süd","D_Y20_24","Deaths, 20-24","","","","","","","","","MILLI_L","Milligrams per litre ","","","2008M12_100","2008M12=100","",""
"","","","","AT123","Sankt Pölten","D_Y25_29","Deaths, 25-29","","","","","","","","","T_CO2_EQVT","Tonnes of CO2 equivalent","","","2011M12_100","2011M12=100","",""
"","","","","AT124","Waldviertel","D_Y30_34","Deaths, 30-34","","","","","","","","","4","PHYSICAL MEASURES","","","2012M12_100","2012M12=100","",""
"","","","","AT125","Weinviertel","D_Y35_39","Deaths, 35-39","","","","","","","","","CAR","Carats","","","2015","2015","",""
"","","","","AT126","Wiener Umland/Nordteil","D_Y40_44","Deaths, 40-44","","","","","","","","","CUR","Curies","","","2015_100","2015=100","",""
"","","","","AT127","Wiener Umland/Südteil","D_Y45_49","Deaths, 45-49","","","","","","","","","KG","Kilograms","","","2015M12_100","2015M12=100","",""
"","","","","AT13","Vienna","D_Y50_54","Deaths, 50-54","","","","","","","","","KG_HAB","Kilograms per capita","","","2015M06_100","2015M06=100","",""
"","","","","AT130","Vienna","D_Y55_59","Deaths, 55-59","","","","","","","","","KM","Kilometres","","","LTAVG_100","Long-term average=100","",""
"","","","","AT21","Carinthia","D_Y60_64","Deaths, 60-64","","","","","","","","","KM2","Square kilometres","","","2014M12_100","2014M12=100","",""
